Dates,stoxx600_monthly_return,stoxx600_cumulative_return
2013-04-01,0.010007496948813532,0.24124659038995766
2013-05-01,0.014019963753690856,0.25864882259661726
2013-06-01,-0.05271209655596032,0.1923028043298587
2013-07-01,0.05108412785004823,0.2532105532222162
2013-08-01,-0.007543825854006814,0.24375655105030436
2013-09-01,0.044194752479373545,0.298724063968572
2013-10-01,0.038362442794284135,0.34854629157812655
2013-11-01,0.00865467812507692,0.3602175256685014
2013-12-01,0.009533786654575716,0.37318554936203974
2014-01-01,-0.017486201733959206,0.3491737498277374
2014-02-01,0.04805903673568257,0.41401374063352714
2014-03-01,-0.010975656989705596,0.39849401083760294
2014-04-01,0.010708674930417716,0.41347002859179893
2014-05-01,0.018793025276418573,0.44003340656658474
2014-06-01,-0.006913795463426742,0.4300773101330817
2014-07-01,-0.017170758113591145,0.4055217985570514
2014-08-01,0.017887466711233424,0.4306630229406536
2014-09-01,0.003157855474460902,0.4351808499997556
2014-10-01,-0.01830476572545292,0.4089102007668537
2014-11-01,0.03102735328320394,0.45262495531035674
2014-12-01,-0.013563690295401387,0.4329220003011558
2015-01-01,0.07155362479309502,0.5354527634684758
2015-02-01,0.06854653180454706,0.6407027251539474
2015-03-01,0.01297773246165157,0.6619953261700979
2015-04-01,-0.0038006023016384782,0.6556787429081434
2015-05-01,0.010308462781223993,0.6727462456070759
2015-06-01,-0.046415079363867906,0.5951055958616114
2015-07-01,0.03949541752122454,0.6581049573606075
2015-08-01,-0.08471879048851227,0.5176323108700105
2015-09-01,-0.04140141453038437,0.45480018646297604
2015-10-01,0.07965038123500157,0.5706755759355036
2015-11-01,0.026526730291892564,0.6123404633144076
2015-12-01,-0.05090417323514207,0.5302656050558219
2016-01-01,-0.06435036959631302,0.4317924477899542
2016-02-01,-0.024395874175237586,0.3968626193886151
2016-03-01,0.01084090492219314,0.41200587423477275
2016-04-01,0.011672697581513125,0.4284877917880352
2016-05-01,0.017482725280052014,0.4534616514177736
2016-06-01,-0.05056844641510472,0.37996235378164434
2016-07-01,0.036407207432567645,0.430202929444907
2016-08-01,0.0047968178671311534,0.43706335241049166
2016-09-01,-0.0017756392563387235,0.4345116463081058
2016-10-01,-0.011518756713987055,0.4179878556509016
2016-11-01,0.008909310566705742,0.4306211498367125
2016-12-01,0.056814596181728794,0.5119013127537257
2017-01-01,-0.0035969737763479337,0.5064630433793247
2017-02-01,0.028101730685335502,0.5487972621117814
2017-03-01,0.029440429725493544,0.59439451906602
2017-04-01,0.015611012910679012,0.6192846324878756
2017-05-01,0.00749178207631318,0.6314159600739977
2017-06-01,-0.027231455635066792,0.5869901287349026
2017-07-01,-0.00400661368383215,0.5806316723690068
2017-08-01,-0.010506817934562873,0.5640242631658221
2017-09-01,0.03819406920081958,0.6237607141049384
2017-10-01,0.018188369466163312,0.6532942738977201
2017-11-01,-0.021582912689010025,0.6176113679349453
2017-12-01,0.00643924130092377,0.6280275578641958
2018-01-01,0.01613648927869904,0.654298207097098
2018-02-01,-0.04002929983895431,0.5880778081421636
2018-03-01,-0.023075124866194674,0.5514327144220503
2018-04-01,0.03896247309644263,0.6118803698186603
2018-05-01,-0.005865280085815439,0.6024262399848461
2018-06-01,-0.008171056499664209,0.5893327246413855
2018-07-01,0.030742486513162914,0.6381927644936018
2018-08-01,-0.023875733346134353,0.599079710878986
2018-09-01,0.002406694099966966,0.6029282065845354
2018-10-01,-0.056292102240499076,0.5126960080952989
2018-11-01,-0.011393477182832679,0.49546114064250313
